Quality,Angle (°),Angle (rad),Distance,x,y
15,"350,765625","6,12183450520833","2834,5","-455,366986895109","2797,68317670998"
15,"352,140625","6,14583207465278","2831,5","-387,693956186282","2804,83255228126"
15,"353,515625","6,16982964409722","2809,25","-317,762858983227","2791,22058031084"
15,"354,890625","6,19382721354167","2806,25","-250,427567661641","2795,05368389501"
15,"356,265625","6,21782478298611",2807,"-183,336390869983","2801,00638481649"
15,"357,671875","6,24236775173611","2800,25","-114,267623764777","2797,91761362967"
15,"359,015625","6,265819921875","2798,25","-48,5902472242906","2797,82809521505"
15,"0,40625","0,00709019097222222","2786,5","19,756651612653","2786,42996049014"
15,"5,890625","0,102807769097222","2798,25","287,17533509163","2783,47505636659"
15,"7,28125","0,127078038194444","2804,75","355,463601979902","2782,1337477137"
15,"8,671875","0,151348307291667","2801,75","422,423107307078","2769,72232920794"
15,"10,015625","0,174800477430556",2813,"489,21349665476","2770,13341821126"
15,"11,390625","0,198798046875","2818,75","556,678301635408","2763,23376336283"
15,"12,765625","0,222795616319444","2826,25","624,479725714166","2756,39513398786"
15,"14,140625","0,246793185763889",2824,"689,890690597116","2738,43510695934"
15,"15,5","0,270518055555556","2820,25","753,657347100835","2717,68479880595"
15,"16,84375","0,293970225694444",2862,"829,277109630733","2739,22315181558"
15,"18,21875","0,317967795138889","2879,75","900,316030862698","2735,39596897262"
15,"19,578125","0,341692664930556","2902,5","972,57661201354","2734,7030887766"
15,"20,96875","0,365962934027778","2908,75","1040,89219787164","2716,13143918146"
15,"22,328125","0,389687803819444","2928,75","1112,63108097149","2709,17490025215"
15,"23,703125","0,413685373263889","2987,75","1201,03530264851","2735,72006321773"
15,"25,0625","0,437410243055556","2998,75","1270,25536359632","2716,42280835565"
15,"26,453125","0,461680512152778","3055,25","1360,97121464412","2735,38112799846"
15,"27,8125","0,485405381944444","3024,25","1411,01510574386","2674,90643459966"
15,"29,203125","0,509675651041667","2902,5","1416,11276293663","2533,60038140351"
15,"30,625","0,534491319444444","2765,5","1408,75502405226","2379,78980840904"
15,32,"0,558488888888889","2783,5","1474,99138953905","2360,56617166003"
15,"33,375","0,582486458333333","2835,25","1559,67689426212","2367,70997970716"
15,"34,75","0,606484027777778","2883,5","1643,54328577656","2369,24834447105"
15,"36,109375","0,630208897569444",2944,"1734,93906196304","2378,47061181651"
15,"37,421875","0,653115668402778","3403,5","2068,1837346976","2703,04056379705"
15,"38,78125","0,676840538194444",3469,"2172,74979598704","2704,27796722864"
15,"40,15625","0,700838107638889",3531,"2276,99529635892","2698,75034420736"
15,"41,515625","0,724562977430556",3582,"2374,17921671909","2682,16275548281"
15,"42,875","0,748287847222222",3678,"2502,45602413553","2695,44019545376"
15,"44,25","0,772285416666667","3735,75","2606,70975922195","2675,98435975942"
15,"45,625","0,796282986111111","3834,75","2740,93155777567","2681,90263769761"
15,47,"0,820280555555556","3907,5","2857,70011642208","2664,97772872518"
15,"48,34375","0,843732725694445","3993,75","2983,84797010234","2654,5602938747"
15,"49,734375","0,868002994791667",4104,"3131,51489525113","2652,62708664831"
15,"51,078125","0,891455164930555","4199,25","3266,96116558002","2638,30728026362"
15,"52,46875","0,915725434027778","4124,75","3270,94630595318","2512,86148167209"
15,"53,84375","0,939723003472222","4083,75","3297,19810690646","2409,4602520715"
15,"55,21875","0,963720572916667",3970,"3260,63927416989","2264,7586016485"
15,"56,609375","0,987990842013889","3923,25","3275,60729445895","2159,23306175765"
15,"58,3125","1,01771510416667","2164,5","1841,7946127241","1137,03687474967"
15,"62,359375","1,08834431423611","2380,25","2108,56819147063","1104,32343288471"
15,"63,53125","1,10879678819444","3603,75","3225,94371697462","1606,33159634366"
13,"64,90625","1,13279435763889","3558,25","3222,35439139909","1509,16375477647"
14,"66,28125","1,15679192708333","3540,5","3241,38894010239","1424,26752718087"
15,"67,65625","1,18078949652778","3481,5","3220,0618510992","1323,64796116474"
11,"69,0625","1,20533246527778","3439,75","3212,58232505543","1229,30666118811"
12,"75,765625","1,32232061631944","5632,25","5459,27465406187","1385,12104670228"
12,"77,125","1,34604548611111","5739,75","5595,39336950062","1279,18063738021"
12,"78,5","1,37004305555556","5848,25","5730,79753613315","1166,18508923336"
11,"79,875","1,394040625",6022,"5928,17326179711","1058,88893568391"
15,84,"1,46603333333333","5324,5","5295,30776212891","556,790763516527"
15,"85,375","1,49003090277778","5263,25","5246,09309808819","424,626622683297"
15,"86,734375","1,51375577256944","5203,5","5195,03717655242","296,649598412377"
15,"88,109375","1,53775334201389",5245,"5242,13691315028","173,278919050236"
15,"89,484375","1,56175091145833","5229,25","5229,03607404748","47,3000931305999"
15,"90,875","1,58602118055556","5218,75","5218,14516854687","-79,4516360495807"
15,"92,234375","1,60974605034722","5213,75","5209,79565951903","-203,02277841837"
15,"94,234375","1,64465160590278","1564,75","1560,48439502347","-115,460016404924"
15,"95,65625","1,66946727430556","1565,5","1557,88536152347","-154,218839156878"
15,"97,015625","1,69319214409722","1568,75","1557,0141470839","-191,529392732806"
15,"98,390625","1,71718971354167",1575,"1558,15318815203","-229,746909123178"
15,"99,71875","1,74036918402778",1581,"1558,32362532359","-266,811691569796"
